block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_133157,8,1,8 Fairview via Weber & Courtland,80126,14WINT-All-Weekday-05,825815-05
b_133080,65,0,65 Fisher Mills,650008,14WINT-All-Weekday-05,827570-05
b_133177,53,0,53 Franklin Blvd.,530003,14WINT-All-Weekday-05,824488-05
a_138286,52,0,52 Fairview Park via Preston Pkwy,520004,13XMAS-All-Holiday2-01,798077b
a_138507,201,1,201 iXpress Conestoga Mall,2010023,13XMAS-All-Holiday3-01,836891N
a_138437,32,0,32 Kumpf,320003,13XMAS-All-Holiday3-01,803571N
a_127933,3,1,3 Ottawa South to Downtown,30003,13XMAS-All-Saturday-03,798610
b_133270,17,1,17 Fairview Park,170015,14WINT-All-Saturday-03,830003-03
b_133313,3,1,3 Ottawa South to Downtown,30003,14WINT-All-Saturday-03,829253-03
b_133421,20,0,20 Victoria Hills to Highland Hills,200003,14WINT-All-Sunday-03,833479-03
b_133017,9,1,9 Lakeshore to UW,90005,14WINT-All-Weekday-05,826239-05
a_138410,59,0,59 Christopher,590005,13XMAS-All-Holiday3-01,872208N
b_133289,65,0,65 Fisher Mills,650008,14WINT-All-Saturday-03,830896-03
b_133306,57,1,57 Blair Road,570003,14WINT-All-Saturday-03,830287-03
b_133332,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,14WINT-All-Saturday-03,830137-03
b_133394,25,1,25 Queen South to Downtown,250013,14WINT-All-Sunday-03,832578-03
a_138282,71,1,71 Melran via Winston,710005,13XMAS-All-Holiday2-01,797982b
a_138417,1,1,1 Downtown via Lorraine,10011,13XMAS-All-Holiday3-01,874004N
a_138483,16,0,16 Forest Glen,160004,13XMAS-All-Holiday3-01,803610N
b_133277,24,1,24 Highland to Downtown,240013,14WINT-All-Saturday-03,829674-03
a_131850,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803025
a_131854,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803024
a_131851,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803027
a_131908,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803026
a_131854,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803021
a_131908,51,0,51 Hespeler Rd. to Ainslie Terminal,510002,13XMAS-All-Weekday-08,803020
